rank,score,institute_name_raw,institute_id,state,city,tlr,rpc,go,oi,perception,category,year,page_url,row_anchor,crawl_time,institute_name_norm
18,64.34,Jadavpur University,IR-O-U-0575,West Bengal,Kolkata,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,JADAVPUR UNIVERSITY
19,63.76,Aligarh Muslim University,IR-O-U-0496,Uttar Pradesh,Aligarh,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,ALIGARH MUSLIM UNIVERSITY
20,63.03,Homi Bhabha National Institute,IR-O-U-0304,Maharashtra,Mumbai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,HOMI BHABHA NATIONAL INSTITUTE
21,62.88,Vellore Institute of Technology,IR-O-U-0490,Tamil Nadu,Vellore,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,VELLORE INSTITUTE OF TECHNOLOGY
22,62.87,S.R.M. Institute of Science and Technology,IR-O-U-0473,Tamil Nadu,Chennai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,S R M INSTITUTE OF SCIENCE AND TECHNOLOGY
23,62.23,Saveetha Institute of Medical and Technical Sciences,IR-O-I-1441,Tamil Nadu,Chennai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SAVEETHA INSTITUTE OF MEDICAL AND TECHNICAL SCIENCES
24,61.59,Indian Agricultural Research Institute,IR-O-U-0101,Delhi,New Delhi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,INDIAN AGRICULTURAL RESEARCH INSTITUTE
25,61.01,Siksha `O` Anusandhan,IR-O-U-0363,Odisha,Bhubaneswar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SIKSHA 'O' ANUSANDHAN
26,60.32,University of Hyderabad,IR-O-U-0042,Telangana,Hyderabad,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,UNIVERSITY OF HYDERABAD
27,60.13,Indian Institute of Technology Indore,IR-O-U-0273,Madhya Pradesh,Indore,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT INDORE
27,60.13,Kalinga Institute of Industrial Technology,IR-O-U-0356,Odisha,Bhubaneswar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY
29,60.06,Anna University,IR-O-U-0439,Tamil Nadu,Chennai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,ANNA UNIVERSITY
30,60.05,National Institute of Technology Tiruchirappalli,IR-O-U-0467,Tamil Nadu,Tiruchirappalli,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,NIT TIRUCHIRAPPALLI
31,60.03,Indian Institute of Technology (Banaras Hindu University) Varanasi,IR-O-U-0701,Uttar Pradesh,Varanasi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT (BANARAS HINDU UNIVERSITY) VARANASI
